"CFLEH,DBIBI,LIDIE",4,0.00,0.00,4.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,300.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,18.00,0.00,0.00,0,0
"GIKLC,HKAEI,ILLBA",4,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,4.00,0.00,3.00,2.00,300.00,2.00,4.00,25.00,4.00,0.00,0.00,2,0
"LGLGL,DCBBA,AAHEC",5,0.00,380.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,2.00,0.00,2.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
"DKLGH,LHFDL,BFLLF",5,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,1,0
"LLHEL,EAECE,HGBLH",5,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.00,45.00,0.00,4.00,0.00,0.00,0.00,2.00,3.00,2.00,3.00,2.00,30.00,0.00,0.00,0,0
"GCICL,BLFGB,EBLDL",5,0.00,0.00,0.00,2.00,0.00,380.00,2.00,0.00,2.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
"LFABC,DLBLF,FFFFG",4,0.00,2.00,70.00,25.00,2.00,70.00,25.00,2.00,15.00,70.00,0.00,0.00,2.00,2.00,18.00,2.00,0.00,0.00,2.00,18.00,2.00,2.00,70.00,2.00,0.00,0.00,0,0
"LLLLL,GFDKK,HGCFD",5,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,18.00,0.00,2.00,2.00,11.00,0.00,170.00,0.00,2.00,25.00,25.00,3.00,2.00,3.00,2.00,130.00,0.00,0.00,2,0
"GAIHB,CLGFH,FCLBF",5,0.00,0.00,0.00,25.00,2.00,25.00,25.00,2.00,2.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
"LFGBI,DLDDH,IHLLE",4,40.00,2.00,0.00,40.00,4.00,40.00,40.00,4.00,25.00,50.00,0.00,0.00,2.00,0.00,18.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,130.00,0.00,0.00,0.00,0,0
