"FKGEG,JLKIF,KJHEL",0.00,3,0
"KDELA,GBKJB,KGEFF",0.00,3,0
"GKKFL,FEFDA,KBBEJ",0.00,3,0
"BKKBB,EFFEF,KJALD",0.00,3,0
"BJBAJ,AKKCC,KFELA",0.00,3,0
"JFCAA,ACKCE,KKEDL",0.00,3,0
"KELEA,JKAFJ,AALKE",4.00,3,0
"KDECA,AKIEK,FAAFJ",0.00,3,0
"KKJAL,ACLBK,FLJDC",0.00,3,0
"KFKHA,GAEAJ,LKGFB",0.00,3,0
"KEFLK,BCBBH,KBLCF",0.00,3,0
"KLBHF,AKAGA,BJKIC",0.00,3,0
"FEAGL,KLKBE,AKAAL",8.00,3,0
"KKDCA,BDKLB,GBFBD",0.00,3,0
"KKAGG,ADLLK,FFJDL",0.00,3,0
"LJEBK,KKAJF,AALEL",4.00,3,0
"KJBKL,AHCJI,KCJBL",0.00,3,0
"EAGJF,KCELK,BKBAG",0.00,3,0
"KKBAB,GCDHL,DEKAJ",0.00,3,0
"KDLCL,IAKDB,KEFLA",0.00,3,0
"AKALF,BJBAA,AKIKC",0.00,3,0
"ACBJC,KAKEF,LKEBA",0.00,3,0
"JAACL,KKKBC,LEAGJ",0.00,3,0
"JBEJA,KKKAD,AJFCA",0.00,3,0
"BKBEK,IAFBC,KHGIG",0.00,3,0
"LBAKL,KKBEA,FJHDG",0.00,3,0
"ACFBA,CKGLE,KAADK",0.00,3,0
"GKADK,KDEHF,AFFCG",0.00,3,0
"KKFKJ,LAELD,BDAGI",0.00,3,0
"LJEBK,KKIAA,LEFBJ",0.00,3,0
"LKKBA,KJCEL,DEAAJ",0.00,3,0
"KBFJH,JALEA,KFKBL",0.00,3,0
"AKDJA,BCJHK,KBAAA",0.00,3,0
"BAEAL,KKAJG,LJKBA",0.00,3,0
"JJFEB,KCECG,BKKFB",0.00,3,0
"DCEGC,KKBAA,LAKGF",0.00,3,0
"KIABC,FABKA,KJEGB",0.00,3,0
"AFGFK,FEFAI,KKADA",0.00,3,0
"FKHKB,CCAFC,AKLDG",0.00,3,0
"KGKEL,JEALG,KLBEE",0.00,3,0
"CKGLC,KAAJL,FBLCK",0.00,3,0
"GLBKA,KKGCH,EJCBC",2.00,3,0
"KLKAC,FAALB,LKEBD",20.00,3,0
"KJCBA,AKLDK,FECAG",0.00,3,0
"KJCBA,LALKC,KFCLJ",4.00,3,0
"KBBFL,BKKJG,CCJBF",0.00,3,0
"JGADF,KJECA,FKBIK",0.00,3,0
"KAJCC,FHGBB,AKKLA",0.00,3,0
"KFABB,LJKLF,KLCHL",0.00,3,0
"AFDDE,KBAKA,BKBEI",5.00,3,0
"LEBLG,KKFFB,FJCKF",0.00,3,0
"JKJAB,KBKJD,AELCB",0.00,3,0
"ECLKL,KKALF,BACJA",0.00,3,0
"KKILB,FGBAF,BLAKG",0.00,3,0
"KFBLK,BEFAB,HKABA",0.00,3,0
"ABKGE,KCLDA,GKFFE",0.00,3,0
"FCICJ,KKBAI,FGKBD",0.00,3,0
"ABGGJ,HKJAG,KCEKJ",0.00,3,0
"JKAJD,KBLKE,BLEJB",5.00,3,0
"KBAGC,EAJBF,JKKEJ",0.00,3,0
"KECAD,FJBBK,LKACL",0.00,3,0
"KBKCF,LKADI,AACJB",0.00,3,0
"BCBAG,CKLEI,KAKCF",0.00,3,0
"KABKA,AKALC,EBJED",0.00,3,0
"IFKCJ,KKDFB,BBBEC",5.00,3,0
"CAHLL,KDBFK,BKEEE",0.00,3,0
"KBBBC,FCJLL,HKAIK",0.00,3,0
"KJKHF,JFJDG,LKEAA",0.00,3,0
"EAJBB,KCKAH,DKLCA",0.00,3,0
"KKDLL,EGKCG,FJCBL",0.00,3,0
"LDFAK,EIDBA,KKHJG",16.00,3,0
"KDKFF,JCBCC,KAJAA",0.00,3,0
"ACLBJ,KKCGK,LLHCF",35.00,3,0
"KFHAJ,ABADK,KIGAG",0.00,3,0
"ABLFC,JKCCI,KEDLK",0.00,3,0
"KCGEH,LKAFB,CEEKJ",0.00,3,0
"KAAJF,BBGHG,EKLAK",0.00,3,0
"KLGLD,AKKCJ,FAALE",0.00,3,0
"KJABA,BKLHB,JAKAA",0.00,3,0
"LIFEL,DJGDK,KKFLA",4.00,3,0
"AKABF,LEEDA,KIABK",18.00,3,0
"BDKJA,KKALJ,JFLAG",0.00,3,0
"KKFEJ,AFKCI,DLCAL",0.00,3,0
"GEAFG,LKKJF,KLEED",0.00,3,0
"KFJIL,CKBBG,AAKJA",0.00,3,0
"BEJKC,ABCGL,KKLBF",5.00,3,0
"KACEH,BFKBI,GKALE",0.00,3,0
"KFLBK,BKBAG,EAAED",0.00,3,0
"CKJBK,KFDFA,JAABD",0.00,3,0
"KALAL,BJABF,KLDEK",0.00,3,0
"EKKEA,KCCDF,BBEFL",0.00,3,0
"KKEGJ,JACLH,ABAEK",20.00,3,0
"JKGIC,ABEFK,JKIBL",0.00,3,0
"BKAKG,KECBF,FJILA",0.00,3,0
"KHJLK,ABCAD,KGGBF",0.00,3,0
