"LEFIL,IBLEE,LIHFL",5,0.00,0.00,4.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,350.00,0.00,13.00,1000.00,0.00,4.00,0.00,4.00,4.00,0.00,1000.00,13.00,4.00,0.00,0.00,0.00,0.00,4.00,1000.00,13.00,0,0
"ILGLI,DHLFE,LLKDI",5,0.00,4.00,0.00,0.00,3.00,0.00,0.00,32.00,0.00,3.00,40.00,40.00,45.00,1000.00,4.00,25.00,0.00,0.00,4.00,0.00,1000.00,40.00,4.00,140.00,0.00,0.00,4.00,0.00,1000.00,40.00,1,0
"IGLIA,LICCH,ILLIL",5,4.00,0.00,1000.00,4.00,45.00,45.00,4.00,4.00,45.00,45.00,8.00,2.00,0.00,4.00,0.00,1000.00,25.00,350.00,350.00,0.00,4.00,0.00,350.00,0.00,45.00,45.00,0.00,45.00,4.00,0.00,0,0
"LLHAI,IIBLA,LHLFL",5,4.00,32.00,32.00,4.00,4.00,1000.00,4.00,4.00,4.00,1000.00,0.00,4.00,5.00,3.00,15.00,32.00,45.00,0.00,32.00,70.00,3.00,5.00,32.00,32.00,4.00,350.00,500.00,200.00,3.00,5.00,0,0
"IILLJ,LDECB,ILIJI",5,0.00,350.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,4.00,4.00,4.00,350.00,45.00,350.00,0.00,45.00,1000.00,4.00,4.00,45.00,1000.00,10.00,0.00,45.00,45.00,4.00,4.00,0,0
"LBIDL,ILCIF,LDILE",5,4.00,0.00,0.00,8.00,350.00,1000.00,8.00,8.00,1000.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,350.00,0.00,0.00,0.00,0.00,0,0
"LLLHH,GJALI,LHLHB",5,0.00,500.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,3.00,500.00,200.00,25.00,0.00,500.00,200.00,3.00,4.00,500.00,200.00,0.00,0.00,80.00,500.00,3.00,4.00,0,0
"LIHFA,BHIIC,LLALL",5,0.00,4.00,70.00,3.00,32.00,3.00,3.00,3.00,32.00,3.00,0.00,0.00,1000.00,45.00,4.00,500.00,0.00,0.00,200.00,4.00,45.00,350.00,70.00,4.00,0.00,0.00,4.00,4.00,45.00,1000.00,0,0
"LILLK,JEIFH,LLCEI",5,0.00,350.00,8.00,0.00,13.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,45.00,350.00,4.00,70.00,0.00,0.00,70.00,4.00,1000.00,45.00,8.00,1000.00,0.00,0.00,45.00,8.00,350.00,45.00,1,0
"IGJLL,LIIIE,BLHBH",5,350.00,0.00,0.00,350.00,0.00,4.00,1000.00,0.00,4.00,0.00,350.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,0.00,350.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,1000.00,0.00,0,0
