"LLCIE,IEBFL,CLLIG",5,0.00,8.00,8.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,4.00,4.00,5.00,0.00,350.00,8.00,1000.00,4.00,8.00,8.00,5.00,0.00,350.00,8.00,0.00,0.00,8.00,8.00,5.00,0.00,0,0
"ALHFH,IALBI,LEEIG",5,0.00,0.00,13.00,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,1000.00,4.00,13.00,0.00,0.00,4.00,0.00,0.00,13.00,0.00,350.00,0.00,32.00,0.00,0.00,0.00,13.00,0.00,350.00,0,0
"CLILF,IBABI,LLLFB",5,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,4.00,4.00,0.00,15.00,25.00,45.00,1000.00,45.00,0.00,80.00,0.00,4.00,8.00,350.00,0.00,0.00,0.00,40.00,0.00,4.00,0,0
"LLEGI,DIGIC,LDLEK",5,0.00,13.00,10.00,4.00,4.00,1000.00,4.00,4.00,4.00,350.00,0.00,0.00,25.00,0.00,140.00,0.00,10.00,0.00,0.00,140.00,0.00,25.00,10.00,13.00,0.00,0.00,13.00,10.00,0.00,25.00,1,0
"IECFA,DLIIK,LALLH",4,0.00,0.00,15.00,350.00,8.00,350.00,350.00,350.00,4.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,4.00,0.00,0.00,1,0
"LDLHJ,DIIIE,LCAEA",4,0.00,10.00,0.00,350.00,350.00,4.00,350.00,350.00,350.00,4.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0,0
"IKILL,LDLHF,HIBJB",5,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,45.00,0.00,350.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,1,0
"LGAIH,ELLLE,IDHCC",5,190.00,2.00,0.00,190.00,4.00,500.00,500.00,350.00,15.00,4.00,0.00,0.00,25.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,10.00,0.00,0,0
"LHKIF,JLFLD,LCIFI",5,0.00,3.00,0.00,100.00,0.00,350.00,230.00,100.00,0.00,1000.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,0.00,3.00,0.00,0.00,3.00,1,0
"LBBHE,ILGLL,CHLFF",5,4.00,5.00,0.00,310.00,0.00,190.00,140.00,0.00,40.00,25.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,32.00,0.00,4.00,1000.00,40.00,0.00,3.00,0.00,0,0
"AIGBA,LDIGI,IELLH",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,45.00,0.00,350.00,0.00,4.00,0.00,10.00,0.00,0.00,0.00,350.00,0,0
"LELFG,FIILL,JAEFB",5,0.00,13.00,0.00,1000.00,0.00,4.00,350.00,0.00,350.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0,0
"LCFDC,FILLL,IDBBF",5,0.00,0.00,0.00,1000.00,4.00,4.00,350.00,350.00,4.00,4.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0,0
"EHLHG,IJHBL,HILLF",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,200.00,0.00,200.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,0,0
"LLFEH,IALGC,LFALG",5,0.00,17.00,0.00,4.00,0.00,4.00,4.00,4.00,0.00,4.00,0.00,350.00,310.00,17.00,4.00,100.00,4.00,0.00,100.00,4.00,17.00,500.00,0.00,17.00,0.00,0.00,17.00,0.00,17.00,310.00,0,0
"ELHEK,LILLH,IFKIF",4,350.00,0.00,0.00,0.00,4.00,0.00,0.00,350.00,0.00,4.00,17.00,350.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,350.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,350.00,2,0
"LLLLI,GEAHC,KBGDH",5,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,2.00,4.00,0.00,140.00,0.00,140.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,0.00,0.00,1,0
"LHFLI,IFLBG,DIEFB",5,0.00,3.00,0.00,17.00,0.00,0.00,17.00,0.00,17.00,0.00,350.00,0.00,32.00,0.00,3.00,0.00,0.00,4.00,4.00,0.00,350.00,0.00,4.00,0.00,0.00,0.00,3.00,0.00,1000.00,0.00,0,0
"LGIDG,HILID,IBBJF",4,0.00,2.00,0.00,350.00,350.00,4.00,350.00,350.00,350.00,4.00,0.00,0.00,25.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,2.00,0.00,5.00,0.00,0,0
"IICID,LBLEH,JLHLK",4,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,350.00,350.00,0.00,4.00,0.00,4.00,25.00,4.00,0.00,350.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,350.00,0.00,1,0
