"LHHHH,ELDED,CILAL",5,0.00,600.00,0.00,11.00,0.00,60.00,11.00,0.00,30.00,7.00,0.00,0.00,4.00,0.00,600.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,40.00,0.00,0.00,0.00,0,0
"CCLDF,LLCLH,KHEAL",5,30.00,7.00,0.00,30.00,0.00,0.00,30.00,0.00,30.00,0.00,4.00,7.00,7.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,600.00,600.00,1,0
"LGBGE,ILFLB,GEGHG",5,6.00,2.00,0.00,70.00,2.00,90.00,70.00,2.00,25.00,500.00,0.00,0.00,2.00,0.00,90.00,0.00,0.00,0.00,0.00,500.00,0.00,2.00,0.00,2.00,6.00,6.00,0,0
"BFFIC,FCLAL,LLDLD",5,0.00,0.00,190.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,15.00,350.00,0.00,300.00,0.00,70.00,2.00,350.00,0.00,2.00,4.00,70.00,0.00,15.00,0.00,0.00,0,0
"FCLBE,LLCLH,DEBIG",5,30.00,0.00,0.00,2.00,50.00,2.00,2.00,0.00,70.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,600.00,600.00,0,0
"FFLCC,BJFGE,FLLLL",5,0.00,15.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,15.00,15.00,350.00,0.00,25.00,70.00,15.00,15.00,70.00,70.00,15.00,0.00,0.00,0,0
"LALEF,ALFLL,GHCJE",5,0.00,3.00,0.00,350.00,90.00,30.00,350.00,2.00,350.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,4.00,0.00,4.00,0.00,80.00,80.00,0,0
"HLLFE,CBBCG,LLHLL",5,0.00,30.00,600.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,30.00,0.00,0.00,30.00,130.00,30.00,4.00,25.00,130.00,350.00,0.00,0.00,0,0
"BFAGG,LLHLL,HAAFH",5,600.00,0.00,0.00,0.00,4.00,0.00,0.00,600.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,80.00,0,0
"HGBBC,LHLLH,DCJBL",5,600.00,0.00,0.00,600.00,0.00,4.00,130.00,0.00,4.00,0.00,7.00,20.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0,0
"LHHFH,JGBLF,DLLHI",5,0.00,30.00,11.00,2.00,0.00,90.00,2.00,0.00,2.00,0.00,0.00,0.00,4.00,0.00,30.00,0.00,0.00,0.00,600.00,0.00,4.00,0.00,600.00,0.00,0.00,0.00,0,0
"GLADE,FGGGF,GELHL",5,0.00,2.00,0.00,90.00,2.00,90.00,90.00,500.00,2.00,500.00,0.00,2.00,20.00,0.00,20.00,0.00,15.00,0.00,0.00,20.00,0.00,20.00,0.00,2.00,0.00,0.00,0,0
